Date,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,Size
2/5/2010,49750875.98,33.28463026,2.717940976933514,167.35704803595658,8.578048846675712,0,137427.97998643148
2/12/2010,48336800.1,33.37044421837911,2.6959552390640895,167.40196087188878,8.567854527,1,137675.08002712784
2/19/2010,48277902.33,37.03972736452373,2.6735873443285088,167.37245470360148,8.574993268259846,0,137274.18646920228
2/26/2010,43970440.65,38.63603126061842,2.6854492014950733,167.72428759670404,8.562097859327217,0,137355.8736
3/5/2010,46872715.16,42.36748978201635,2.731923024523161,167.68003569526567,8.573889986376022,0,137556.27316076294
3/12/2010,45926841.32,46.96282173174873,2.7743599320882852,167.53650585511033,8.579047538,0,137114.2064516129
3/19/2010,44989431.42,49.48333446982611,2.816062734401637,167.49679314343675,8.572520968291851,0,137408.79884077737
3/26/2010,44134583.5,47.96909554573274,2.823445766746005,167.53049421560695,8.572040802448146,0,137340.95681740905
4/2/2010,50424232.22,52.610295616717636,2.8253826027862727,167.4542570974176,8.443379884471627,0,137363.42099898064
4/9/2010,47365466.31,58.11000679117148,2.852425466893039,167.26782603735143,8.443589474,0,137233.09235993208
4/16/2010,45183702.69,57.493049982998976,2.8872747364841893,167.24016928779326,8.449029921795306,0,137126.00850051004
4/23/2010,44734552.03,56.53075581395348,2.881722640218878,167.0597073844733,8.448865937072503,0,137652.8964
4/30/2010,43706044.18,57.305900962861074,2.8912372764786793,167.2306562503095,8.448257565337002,0,137448.70770288858
5/7/2010,48503424.39,63.819540308747854,2.9318072041166383,167.14346431207548,8.454879588336192,0,137288.8051457976
5/14/2010,45330146.41,59.91360548885077,2.9465221269296746,167.11067120099486,8.453271355060034,0,137247.0319039451
5/21/2010,45120250.64,65.69820565907523,2.923671497584541,167.3887211757074,8.449236369910283,0,137364.0559006211
5/28/2010,47757773.63,70.14051432516396,2.8664580600621328,167.40656963448396,8.450034173282706,0,137489.19675526407
6/4/2010,50188767.6,73.00861628709455,2.8096411318150447,167.56412884461696,8.447397515527951,0,137118.96480331264
6/11/2010,47826673.98,73.95780958951363,2.7882418075198343,167.7030653413591,8.460976198689202,0,136930.41669541222
6/18/2010,47622191.19,73.09266895368782,2.7636590051457977,167.63420329660377,8.455857289879932,0,136698.2010291595
6/25/2010,46609279.67,78.32342857142856,2.7905707401032704,167.60707691445785,8.446289500860585,0,137112.30946643717
7/2/2010,48917953.47,76.55949810931591,2.7931247851495358,167.7162524663802,8.375157786180818,0,137454.6579580612
7/9/2010,47899738.27,78.58537107352434,2.782637210907836,167.44823947266138,8.384350362443907,0,137151.4860200207
7/16/2010,46243964.08,79.95668737060042,2.762740510697032,167.4419895179779,8.385008626639062,0,136966.02242926156
7/23/2010,44889146.07,80.69693625771076,2.7615442083618915,167.66225030870459,8.379981494174093,0,137112.19396847155
7/30/2010,44631854.44,78.81187070151307,2.766046423658872,167.67648634284734,8.385756877579093,0,137170.4680192572
8/6/2010,48205253.28,79.55332988,2.775074879227053,167.86887902853692,8.382900621118013,0,136983.03899240855
8/13/2010,46464427.88,79.05625777470628,2.8061337249481686,167.85042283845888,8.389129923980649,0,137061.63165169317
8/20/2010,47061664.12,78.95438535911602,2.783132596685083,167.84784348111188,8.381579074585636,0,137061.27762430938
8/27/2010,45910212.69,76.2162405,2.7618116793365584,167.7929911068072,8.386539737387698,0,137053.8597097443
9/3/2010,47194854.46,76.05584446728332,2.740673175745118,167.79717132884548,8.377038711887634,0,137061.93627954778
9/10/2010,45635418.66,71.95288888888889,2.720868376068376,167.83913568923077,8.384777435897437,1,137224.18495726495
9/17/2010,43081750.91,70.66130479452055,2.733565410958904,167.97881267667807,8.382181849315069,0,136725.27773972604
9/24/2010,41359671.97,70.53812735,2.7378510783978087,168.04584681790482,8.383168777815817,0,136885.42108866826
10/1/2010,42240037.61,69.38106898907104,2.7329928278688524,168.06648012336066,8.433291666666667,0,136663.71789617487
10/8/2010,45108084.83,61.27438374871971,2.7589706384431545,168.0675099617617,8.433930010242403,0,136813.12905428474
10/15/2010,43151409.44,60.30245727956254,2.834933014354067,168.1793813163363,8.422986329460013,0,136882.3872180451
10/22/2010,43066757.33,58.53775614754098,2.851795423497268,168.27005906123634,8.433373975409836,0,136646.3080601093
10/29/2010,43603288.95,58.71131534,2.8565507345404852,168.33313276706525,8.424901605739667,0,136855.69798428426
11/5/2010,45782283.73,52.05598495212039,2.844566005471956,168.18033456911763,8.435544117647058,0,136831.97708618332
11/12/2010,46124900.63,49.85602331162153,2.8725056564964007,168.3531706,8.424200205690779,0,137058.88344189237
11/19/2010,45126774.34,47.68594780219781,2.912541552197802,168.3878573,8.42204636,0,137213.1308379121
11/26/2010,65821216.26,47.33974744027304,2.9193662116040957,168.2070273647099,8.424549488054607,1,136746.2877133106
12/3/2010,49910639.7,41.18888586030665,2.8926258943781944,168.18978181948893,8.426799318568994,0,136834.87223168655
